Pincode,City,State
126115,Jind,Haryana
126116,Jind,Haryana
126125,Jind,Haryana
126152,Jind,Haryana
127020,Bhiwani,Haryana
127021,Bhiwani,Haryana
127022,Bhiwani,Haryana
127025,Bhiwani,Haryana
127026,Bhiwani,Haryana
127027,Bhiwani,Haryana
127028,Bhiwani,Haryana
127029,Bhiwani,Haryana
127030,Bhiwani,Haryana
127031,Bhiwani,Haryana
127032,Bhiwani,Haryana
127035,Bhiwani,Haryana
127040,Bhiwani,Haryana
127041,Bhiwani,Haryana
127042,Bhiwani,Haryana
127043,Bhiwani,Haryana
127045,Bhiwani,Haryana
127046,Bhiwani,Haryana
127110,Bhiwani,Haryana
127111,Bhiwani,Haryana
127114,Bhiwani,Haryana
127201,Bhiwani,Haryana
127306,Bhiwani,Haryana
127307,Bhiwani,Haryana
127308,Bhiwani,Haryana
127309,Bhiwani,Haryana
127310,Bhiwani,Haryana
127311,Bhiwani,Haryana
127312,Bhiwani,Haryana
131001,Sonipat,Haryana
131002,Sonipat,Haryana
131021,Sonipat,Haryana
131022,Sonipat,Haryana
131023,Sonipat,Haryana
131024,Sonipat,Haryana
131027,Sonipat,Haryana
131028,Sonipat,Haryana
131029,Sonipat,Haryana
131039,Sonipat,Haryana
131040,Sonipat,Haryana
131101,Sonipat,Haryana
131102,Sonipat,Haryana
131103,Sonipat,Haryana
131301,Sonipat,Haryana
131302,Sonipat,Haryana
131303,Sonipat,Haryana
131304,Sonipat,Haryana
131305,Sonipat,Haryana
131306,Sonipat,Haryana
131310,Sonipat,Haryana
131402,Sonipat,Haryana
131403,Sonipat,Haryana
131408,Sonipat,Haryana
131409,Sonipat,Haryana
132001,Karnal,Haryana
132022,Karnal,Haryana
132023,Karnal,Haryana
132024,Karnal,Haryana
132036,Karnal,Haryana
132037,Karnal,Haryana
132039,Karnal,Haryana
132040,Karnal,Haryana
132041,Karnal,Haryana
132046,Karnal,Haryana
132054,Karnal,Haryana
132101,Panipat,Haryana
132102,Panipat,Haryana
132103,Panipat,Haryana
132104,Panipat,Haryana
132105,Panipat,Haryana
132106,Panipat,Haryana
132107,Karnal,Haryana
132108,Panipat,Haryana
132113,Panipat,Haryana
132114,Karnal,Haryana
132115,Panipat,Haryana
132116,Karnal,Haryana
132117,Karnal,Haryana
132122,Panipat,Haryana
132140,Panipat,Haryana
132145,Panipat,Haryana
132157,Karnal,Haryana
133001,Ambala,Haryana
133004,Ambala,Haryana
133005,Ambala,Haryana
133006,Ambala,Haryana
133021,Ambala,Haryana
133101,Ambala,Haryana
133102,Ambala,Haryana
133103,Ambala,Haryana
133104,Ambala,Haryana
133105,Yamuna Nagar,Haryana
133201,Ambala,Haryana
133202,Ambala,Haryana
133203,Yamuna Nagar,Haryana
133204,Yamuna Nagar,Haryana
133205,Ambala,Haryana
133206,Yamuna Nagar,Haryana
133207,Ambala,Haryana
133301,Ambala,Haryana
133302,Ambala,Haryana
134003,Ambala,Haryana
134005,Ambala,Haryana
134007,Ambala,Haryana
134008,Ambala,Haryana
134011,Ambala,Haryana
134012,Ambala,Haryana
134101,Panchkula,Haryana
134102,Ambala,Haryana
134103,Panchkula,Haryana
134104,Panchkula,Haryana
134107,Panchkula,Haryana
134108,Panchkula,Haryana
134109,Ambala,Haryana
134111,Panchkula,Haryana
134112,Panchkula,Haryana
134113,Ambala,Haryana
134114,Panchkula,Haryana
134115,Panchkula,Haryana
134116,Ambala,Haryana
134117,Panchkula,Haryana
134118,Ambala,Haryana
134201,Ambala,Haryana
134202,Ambala,Haryana
134203,Panchkula,Haryana
134204,Ambala,Haryana
134205,Ambala,Haryana
135001,Ambala,Haryana
135002,Ambala,Haryana
135003,Yamuna Nagar,Haryana
135004,Panchkula,Haryana
135021,Yamuna Nagar,Haryana
135101,Ambala,Haryana
135102,Ambala,Haryana
135103,Yamuna Nagar,Haryana
135105,Yamuna Nagar,Haryana
135106,Yamuna Nagar,Haryana
135133,Ambala,Haryana
136020,Kaithal,Haryana
136021,Kaithal,Haryana
136026,Kaithal,Haryana
136027,Kaithal,Haryana
136030,Kurukshetra,Haryana
136033,Kaithal,Haryana
136034,Kurukshetra,Haryana
136035,Kaithal,Haryana
136038,Kurukshetra,Haryana
136042,Kaithal,Haryana
136043,Kaithal,Haryana
136044,Kaithal,Haryana
136117,Kaithal,Haryana
136118,Kurukshetra,Haryana
136119,Kurukshetra,Haryana
136128,Kurukshetra,Haryana
136129,Kurukshetra,Haryana
136130,Kurukshetra,Haryana
136131,Kurukshetra,Haryana
136132,Kurukshetra,Haryana
136135,Kurukshetra,Haryana
136136,Kurukshetra,Haryana
136156,Kurukshetra,Haryana
140001,Rupnagar,Punjab
140101,Rupnagar,Punjab
140102,Rupnagar,Punjab
140103,Mohali,Punjab
140104,Mohali,Punjab
140108,Rupnagar,Punjab
140109,Mohali,Punjab
140110,Mohali,Punjab
140111,Rupnagar,Punjab
140112,Fatehgarh Sahib,Punjab
140113,Rupnagar,Punjab
140114,Rupnagar,Punjab
140115,Rupnagar,Punjab
140116,Rupnagar,Punjab
140117,Rupnagar,Punjab
140118,Rupnagar,Punjab
140119,Rupnagar,Punjab
140123,Rupnagar,Punjab
140124,Rupnagar,Punjab
140125,Rupnagar,Punjab
140126,Rupnagar,Punjab
140133,Rupnagar,Punjab
140201,Patiala,Punjab
140301,Rupnagar,Punjab
140306,Mohali,Punjab
140307,Rupnagar,Punjab
140308,Chandigarh,Chandigarh
140401,Patiala,Punjab
140402,Patiala,Punjab
140405,Fatehgarh Sahib,Punjab
140406,Patiala,Punjab
140407,Fatehgarh Sahib,Punjab
140408,Fatehgarh Sahib,Punjab
140412,Fatehgarh Sahib,Punjab
140413,Mohali,Punjab
140417,Fatehgarh Sahib,Punjab
140501,Patiala,Punjab
140506,Patiala,Punjab
140507,Patiala,Punjab
140601,Patiala,Punjab
140602,Fatehgarh Sahib,Punjab
140603,Chandigarh,Chandigarh
140604,Patiala,Punjab
140701,Fatehgarh Sahib,Punjab
140702,Patiala,Punjab
140802,Ludhiana,Punjab
140901,Mohali,Punjab
141001,Ludhiana,Punjab
141002,Ludhiana,Punjab
141003,Ludhiana,Punjab
141004,Ludhiana,Punjab
141005,Ludhiana,Punjab
141006,Ludhiana,Punjab
141007,Ludhiana,Punjab
141008,Ludhiana,Punjab
141009,Ludhiana,Punjab
141010,Ludhiana,Punjab
141012,Ludhiana,Punjab
141013,Ludhiana,Punjab
141014,Ludhiana,Punjab
141015,Ludhiana,Punjab
141016,Ludhiana,Punjab
141017,Ludhiana,Punjab
141101,Ludhiana,Punjab
141102,Ludhiana,Punjab
141103,Ludhiana,Punjab
141104,Ludhiana,Punjab
141105,Ludhiana,Punjab
141106,Ludhiana,Punjab
141107,Ludhiana,Punjab
141108,Ludhiana,Punjab
141109,Ludhiana,Punjab
141110,Ludhiana,Punjab
141112,Ludhiana,Punjab
141113,Ludhiana,Punjab
141114,Ludhiana,Punjab
141115,Ludhiana,Punjab
141116,Ludhiana,Punjab
141117,Ludhiana,Punjab
141118,Ludhiana,Punjab
141119,Ludhiana,Punjab
141120,Ludhiana,Punjab
141121,Ludhiana,Punjab
141122,Ludhiana,Punjab
141123,Ludhiana,Punjab
141124,Ludhiana,Punjab
141125,Ludhiana,Punjab
141126,Ludhiana,Punjab
141127,Ludhiana,Punjab
141201,Ludhiana,Punjab
141202,Ludhiana,Punjab
141203,Ludhiana,Punjab
141204,Ludhiana,Punjab
141205,Ludhiana,Punjab
141206,Ludhiana,Punjab
141305,Jalandhar,Punjab
141401,Ludhiana,Punjab
141402,Ludhiana,Punjab
141410,Ludhiana,Punjab
141411,Ludhiana,Punjab
141412,Ludhiana,Punjab
141413,Ludhiana,Punjab
141414,Ludhiana,Punjab
141415,Ludhiana,Punjab
141416,Ludhiana,Punjab
141417,Ludhiana,Punjab
141418,Ludhiana,Punjab
141419,Ludhiana,Punjab
141421,Fatehgarh Sahib,Punjab
141422,Ludhiana,Punjab
141801,Ludhiana,Punjab
142001,Moga,Punjab
142002,Moga,Punjab
142003,Moga,Punjab
142011,Moga,Punjab
142021,Ludhiana,Punjab
142022,Ludhiana,Punjab
142023,Ludhiana,Punjab
142024,Ludhiana,Punjab
142025,Fatehgarh Sahib,Punjab
142026,Ludhiana,Punjab
142027,Ludhiana,Punjab
142028,Ludhiana,Punjab
142029,Ludhiana,Punjab
142030,Ludhiana,Punjab
142031,Ludhiana,Punjab
142032,Ludhiana,Punjab
142033,Ludhiana,Punjab
142034,Ludhiana,Punjab
142035,Ludhiana,Punjab
142036,Ludhiana,Punjab
142037,Ludhiana,Punjab
142038,Moga,Punjab
142039,Moga,Punjab
142040,Moga,Punjab
142041,Firozpur,Punjab
142042,Firozpur,Punjab
142043,Firozpur,Punjab
142044,Firozpur,Punjab
142045,Moga,Punjab
142046,Moga,Punjab
142047,Firozpur,Punjab
142048,Moga,Punjab
142049,Moga,Punjab
142050,Firozpur,Punjab
142051,Moga,Punjab
142052,Firozpur,Punjab
142053,Moga,Punjab
142054,Moga,Punjab
142055,Moga,Punjab
142056,Moga,Punjab
142057,Moga,Punjab
142058,Moga,Punjab
142060,Firozpur,Punjab
143001,Amritsar,Punjab
143002,Tarn Taran,Punjab
143003,Amritsar,Punjab
143004,Amritsar,Punjab
143005,Amritsar,Punjab
143006,Amritsar,Punjab
143007,Amritsar,Punjab
143008,Amritsar,Punjab
143009,Tarn Taran,Punjab
143010,Amritsar,Punjab
143022,Amritsar,Punjab
143026,Amritsar,Punjab
143101,Amritsar,Punjab
143102,Amritsar,Punjab
143103,Amritsar,Punjab
143104,Amritsar,Punjab
143105,Tarn Taran,Punjab
143106,Amritsar,Punjab
143107,Amritsar,Punjab
143108,Amritsar,Punjab
143109,Amritsar,Punjab
143110,Amritsar,Punjab
143111,Amritsar,Punjab
143112,Amritsar,Punjab
143113,Amritsar,Punjab
143114,Amritsar,Punjab
143115,Tarn Taran,Punjab
143116,Amritsar,Punjab
143117,Amritsar,Punjab
143118,Amritsar,Punjab
143119,Amritsar,Punjab
143149,Amritsar,Punjab
143201,Amritsar,Punjab
143202,Amritsar,Punjab
143203,Amritsar,Punjab
143204,Amritsar,Punjab
143205,Amritsar,Punjab
143301,Tarn Taran,Punjab
143302,Tarn Taran,Punjab
143303,Tarn Taran,Punjab
143304,Amritsar,Punjab
143305,Tarn Taran,Punjab
143306,Amritsar,Punjab
143401,Amritsar,Punjab
143402,Amritsar,Punjab
143406,Amritsar,Punjab
143407,Amritsar,Punjab
143408,Amritsar,Punjab
143409,Amritsar,Punjab
143410,Amritsar,Punjab
143411,Amritsar,Punjab
143412,Amritsar,Punjab
143413,Amritsar,Punjab
143414,Amritsar,Punjab
143415,Tarn Taran,Punjab
143416,Amritsar,Punjab
143417,Amritsar,Punjab
143419,Tarn Taran,Punjab
143422,Tarn Taran,Punjab
143501,Amritsar,Punjab
143502,Amritsar,Punjab
143504,Amritsar,Punjab
143505,Gurdaspur,Punjab
143506,Gurdaspur,Punjab
143507,Gurdaspur,Punjab
143511,Gurdaspur,Punjab
143512,Gurdaspur,Punjab
143513,Gurdaspur,Punjab
143514,Gurdaspur,Punjab
143515,Gurdaspur,Punjab
143516,Gurdaspur,Punjab
143517,Pathankot,Punjab
143518,Gurdaspur,Punjab
143519,Gurdaspur,Punjab
143520,Gurdaspur,Punjab
143521,Gurdaspur,Punjab
143525,Gurdaspur,Punjab
143526,Gurdaspur,Punjab
143527,Gurdaspur,Punjab
143528,Gurdaspur,Punjab
143529,Gurdaspur,Punjab
143530,Gurdaspur,Punjab
143531,Gurdaspur,Punjab
143532,Gurdaspur,Punjab
143533,Gurdaspur,Punjab
143534,Gurdaspur,Punjab
143601,Amritsar,Punjab
143602,Gurdaspur,Punjab
143603,Amritsar,Punjab
143604,Gurdaspur,Punjab
143605,Gurdaspur,Punjab
143606,Amritsar,Punjab
144001,Jalandhar,Punjab
144002,Jalandhar,Punjab
144003,Jalandhar,Punjab
144004,Jalandhar,Punjab
144005,Jalandhar,Punjab
144006,Jalandhar,Punjab
144007,Jalandhar,Punjab
144008,Jalandhar,Punjab
144009,Jalandhar,Punjab
144010,Jalandhar,Punjab
144011,Jalandhar,Punjab
144012,Jalandhar,Punjab
144013,Jalandhar,Punjab
144014,Jalandhar,Punjab
144015,Jalandhar,Punjab
144020,Jalandhar,Punjab
144021,Jalandhar,Punjab
144022,Jalandhar,Punjab
144023,Jalandhar,Punjab
144024,Nawanshahr,Punjab
144025,Jalandhar,Punjab
144026,Jalandhar,Punjab
144027,Jalandhar,Punjab
144028,Jalandhar,Punjab
144029,Nawanshahr,Punjab
144030,Jalandhar,Punjab
144031,Kapurthala,Punjab
144032,Jalandhar,Punjab
144033,Kapurthala,Punjab
144034,Jalandhar,Punjab
144035,Jalandhar,Punjab
144036,Kapurthala,Punjab
144037,Jalandhar,Punjab
144038,Kapurthala,Punjab
144039,Kapurthala,Punjab
144040,Jalandhar,Punjab
144041,Jalandhar,Punjab
144042,Jalandhar,Punjab
144043,Kapurthala,Punjab
144044,Jalandhar,Punjab
144101,Jalandhar,Punjab
144102,Jalandhar,Punjab
144103,Jalandhar,Punjab
144104,Jalandhar,Punjab
144105,Hoshiarpur,Punjab
144106,Jalandhar,Punjab
144201,Jalandhar,Punjab
144202,Hoshiarpur,Punjab
144203,Hoshiarpur,Punjab
144204,Nawanshahr,Punjab
144205,Hoshiarpur,Punjab
144206,Hoshiarpur,Punjab
144207,Hoshiarpur,Punjab
144208,Hoshiarpur,Punjab
144209,Hoshiarpur,Punjab
144210,Hoshiarpur,Punjab
144211,Hoshiarpur,Punjab
144212,Hoshiarpur,Punjab
144213,Hoshiarpur,Punjab
144214,Hoshiarpur,Punjab
144216,Hoshiarpur,Punjab
144221,Hoshiarpur,Punjab
144222,Hoshiarpur,Punjab
144223,Hoshiarpur,Punjab
144224,Hoshiarpur,Punjab
144301,Jalandhar,Punjab
144302,Hoshiarpur,Punjab
144303,Jalandhar,Punjab
144304,Hoshiarpur,Punjab
144305,Hoshiarpur,Punjab
144306,Hoshiarpur,Punjab
144311,Jalandhar,Punjab
144401,Kapurthala,Punjab
144402,Jalandhar,Punjab
144403,Jalandhar,Punjab
144404,Hoshiarpur,Punjab
144405,Kapurthala,Punjab
144406,Hoshiarpur,Punjab
144407,Kapurthala,Punjab
144408,Kapurthala,Punjab
144409,Jalandhar,Punjab
144410,Jalandhar,Punjab
144411,Jalandhar,Punjab
144415,Nawanshahr,Punjab
144416,Jalandhar,Punjab
144417,Jalandhar,Punjab
144418,Jalandhar,Punjab
144419,Nawanshahr,Punjab
144421,Nawanshahr,Punjab
144422,Nawanshahr,Punjab
144424,Hoshiarpur,Punjab
144501,Jalandhar,Punjab
144502,Nawanshahr,Punjab
144503,Nawanshahr,Punjab
144504,Nawanshahr,Punjab
144505,Nawanshahr,Punjab
144506,Nawanshahr,Punjab
144507,Nawanshahr,Punjab
144508,Nawanshahr,Punjab
144509,Nawanshahr,Punjab
144510,Nawanshahr,Punjab
144511,Jalandhar,Punjab
144512,Nawanshahr,Punjab
144513,Nawanshahr,Punjab
144514,Nawanshahr,Punjab
144515,Nawanshahr,Punjab
144516,Nawanshahr,Punjab
144517,Nawanshahr,Punjab
144518,Nawanshahr,Punjab
144519,Hoshiarpur,Punjab
144520,Hoshiarpur,Punjab
144521,Hoshiarpur,Punjab
144522,Hoshiarpur,Punjab
144523,Hoshiarpur,Punjab
144524,Hoshiarpur,Punjab
144525,Nawanshahr,Punjab
144526,Hoshiarpur,Punjab
144527,Hoshiarpur,Punjab
144528,Hoshiarpur,Punjab
144529,Hoshiarpur,Punjab
144530,Hoshiarpur,Punjab
144531,Hoshiarpur,Punjab
144532,Hoshiarpur,Punjab
144533,Nawanshahr,Punjab
144601,Jalandhar,Punjab
144602,Kapurthala,Punjab
144603,Jalandhar,Punjab
144606,Kapurthala,Punjab
144620,Kapurthala,Punjab
144621,Kapurthala,Punjab
144622,Kapurthala,Punjab
144623,Kapurthala,Punjab
144624,Jalandhar,Punjab
144625,Jalandhar,Punjab
144626,Jalandhar,Punjab
144628,Kapurthala,Punjab
144629,Jalandhar,Punjab
144630,Jalandhar,Punjab
144631,Kapurthala,Punjab
144632,Kapurthala,Punjab
144633,Jalandhar,Punjab
144701,Kapurthala,Punjab
144702,Kapurthala,Punjab
144703,Jalandhar,Punjab
144801,Jalandhar,Punjab
144802,Kapurthala,Punjab
144803,Jalandhar,Punjab
144804,Kapurthala,Punjab
144805,Kapurthala,Punjab
144806,Kapurthala,Punjab
144819,Kapurthala,Punjab
145001,Gurdaspur,Punjab
145021,Gurdaspur,Punjab
145022,Gurdaspur,Punjab
145023,Gurdaspur,Punjab
145024,Pathankot,Punjab
145025,Pathankot,Punjab
145026,Pathankot,Punjab
145027,Gurdaspur,Punjab
145029,Gurdaspur,Punjab
145101,Gurdaspur,Punjab
146001,Gurdaspur,Punjab
146021,Nawanshahr,Punjab
146022,Hoshiarpur,Punjab
146023,Hoshiarpur,Punjab
146024,Hoshiarpur,Punjab
146101,Hoshiarpur,Punjab
146102,Hoshiarpur,Punjab
146103,Hoshiarpur,Punjab
146104,Hoshiarpur,Punjab
146105,Hoshiarpur,Punjab
146106,Hoshiarpur,Punjab
146107,Hoshiarpur,Punjab
146108,Hoshiarpur,Punjab
146109,Hoshiarpur,Punjab
146110,Hoshiarpur,Punjab
146111,Hoshiarpur,Punjab
146112,Hoshiarpur,Punjab
146113,Hoshiarpur,Punjab
146114,Hoshiarpur,Punjab
146115,Hoshiarpur,Punjab
146116,Hoshiarpur,Punjab
147001,Patiala,Punjab
147002,Patiala,Punjab
147003,Patiala,Punjab
147004,Fatehgarh Sahib,Punjab
147005,Patiala,Punjab
147006,Fatehgarh Sahib,Punjab
147007,Fatehgarh Sahib,Punjab
147021,Fatehgarh Sahib,Punjab
147101,Patiala,Punjab
147102,Patiala,Punjab
147103,Patiala,Punjab
147104,Fatehgarh Sahib,Punjab
147105,Patiala,Punjab
147111,Patiala,Punjab
147201,Patiala,Punjab
147202,Patiala,Punjab
147203,Fatehgarh Sahib,Punjab
147204,Sangrur,Punjab
147301,Patiala,Punjab
147506,Daper,Punjab
148001,Sangrur,Punjab
148002,Sangrur,Punjab
148017,Sangrur,Punjab
148018,Sangrur,Punjab
148019,Sangrur,Punjab
148020,Sangrur,Punjab
148021,Sangrur,Punjab
148022,Sangrur,Punjab
148023,Sangrur,Punjab
148024,Barnala,Punjab
148025,Barnala,Punjab
148026,Sangrur,Punjab
148027,Sangrur,Punjab
148028,Sangrur,Punjab
148029,Sangrur,Punjab
148030,Sangrur,Punjab
148031,Sangrur,Punjab
148033,Sangrur,Punjab
148034,Sangrur,Punjab
148035,Sangrur,Punjab
148100,Barnala,Punjab
148101,Barnala,Punjab
148102,Sangrur,Punjab
148103,Barnala,Punjab
148104,Barnala,Punjab
148105,Barnala,Punjab
148106,Barnala,Punjab
148107,Sangrur,Punjab
148108,Sangrur,Punjab
148109,Barnala,Punjab
150001,Bhatinda,Punjab
151001,Bathinda,Punjab
151002,Bathinda,Punjab
151003,Bathinda,Punjab
151004,Bathinda,Punjab
151005,Bathinda,Punjab
151101,Bathinda,Punjab
151102,Bathinda,Punjab
151103,Bathinda,Punjab
151104,Bathinda,Punjab
151105,Bathinda,Punjab
151106,Bathinda,Punjab
151107,Bathinda,Punjab
151108,Bathinda,Punjab
151111,Bathinda,Punjab
151201,Bathinda,Punjab
151202,Faridkot,Punjab
151203,Faridkot,Punjab
151204,Faridkot,Punjab
151205,Faridkot,Punjab
151206,Bathinda,Punjab
151207,Moga,Punjab
151208,Moga,Punjab
151209,Faridkot,Punjab
151210,Muktsar,Punjab
151211,Muktsar,Punjab
151212,Faridkot,Punjab
151213,Faridkot,Punjab
151301,Bathinda,Punjab
151302,Mansa,Punjab
151401,Bathinda,Punjab
151501,Mansa,Punjab
151502,Mansa,Punjab
151503,Mansa,Punjab
151504,Mansa,Punjab
151505,Mansa,Punjab
151506,Mansa,Punjab
151507,Mansa,Punjab
151508,Mansa,Punjab
151509,Bathinda,Punjab
151510,Mansa,Punjab
152001,Firozpur,Punjab
152002,Firozpur,Punjab
152003,Firozpur,Punjab
